name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;246;0;711;3079;1625;3079;1394;0
header;162;117;162;155;1802;155;1802;117
C;685;669;685;688;699;688;699;669
A;586;1197;586;1201;590;1201;590;1197
D;988;1223;988;1280;1029;1280;1029;1223
B;1039;1224;1039;1278;1051;1278;1051;1224
B;1061;1224;1061;1279;1101;1279;1101;1224
B;1111;1224;1111;1279;1149;1279;1149;1224
B;668;1225;668;1280;711;1280;711;1225
A;1106;1293;1106;1295;1108;1295;1108;1293
A;961;1342;961;1345;997;1345;997;1342
A;1180;1935;1180;1963;1200;1963;1200;1935
D;550;2059;550;2096;582;2096;582;2059
D;858;2059;858;2097;889;2097;889;2059
B;1033;2059;1033;2098;1062;2098;1062;2059
D;718;2060;718;2097;749;2097;749;2060
A;899;2060;899;2097;929;2097;929;2060
C;1127;2060;1127;2099;1154;2099;1154;2060
B;1303;2060;1303;2099;1331;2099;1331;2060
D;1165;2061;1165;2095;1196;2095;1196;2061
D;869;2643;869;2681;918;2681;918;2643
A;1085;2673;1085;2682;1093;2682;1093;2673
A;1147;2783;1147;2788;1152;2788;1152;2783
