name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;907;0;791;3083;1763;3083;1763;0
header;126;103;126;140;1792;140;1792;103
A;923;164;923;197;948;197;948;164
A;905;179;905;181;908;181;908;179
B;932;838;932;866;953;866;953;838
A;1663;952;1663;959;1670;959;1670;952
A;1108;1361;1108;1386;1122;1386;1122;1361
C;929;1514;929;1543;953;1543;953;1514
A;1407;1739;1407;1742;1410;1742;1410;1739
D;1371;1861;1371;1879;1385;1879;1385;1861
A;1349;1874;1349;1885;1355;1885;1355;1874
D;940;2179;940;2205;959;2205;959;2179
